"AÑO;CATEGORÍA;PELÍCULA;GANÓ;ESTUDIO;STREAMING"
"2020;ACTOR PRINCIPAL;The Two Popes;NO;Netflix;SI"
"2020;ACTRIZ PRINCIPAL;Harriet;NO;Focus Features;NO"
"2020;ACTRIZ PRINCIPAL;Marriage Story;NO;Netflix;SI"
"2020;ACTRIZ PRINCIPAL;Little Women;NO;Columbia Pictures  Sony Pictures;NO"
"2020;ACTRIZ PRINCIPAL;Judy;SI;Roadside Attractions  LD Entertainment;NO"
"2020;ACTRIZ PRINCIPAL;Bombshell;NO;Lionsgate;NO"
"2020;DIRECTOR;The Irishman;NO;Netflix;SI"
"2020;DIRECTOR;Once Upon a Time…in Hollywood;NO;Columbia Pictures  Sony Pictures;NO"
"2020;DIRECTOR;Parasite;SI;CJ ENM;NO"
"2020;DIRECTOR;1917;NO;Universal Pictures Amblin Partners;NO"
"2020;DIRECTOR;Joker;NO;Warner Bros. Pictures;NO"
"2020;DISEÑO DE PRODUCCIÓN;Once Upon a Time…in Hollywood;SI;Columbia Pictures  Sony Pictures;NO"
"2020;DISEÑO DE PRODUCCIÓN;The Irishman;NO;Netflix;SI"
"2020;DISEÑO DE PRODUCCIÓN;1917;NO;Universal Pictures Amblin Partners;NO"
"2020;DISEÑO DE PRODUCCIÓN;Jojo Rabbit;NO;Fox Searchlight Pictures;NO"
"2020;DISEÑO DE PRODUCCIÓN;Parasite;NO;CJ ENM;NO"
"2020;FOTOGRAFÍA;1917;SI;Universal Pictures  Amblin Partners;NO"
"2020;FOTOGRAFÍA;Once Upon a Time…in Hollywood;NO;Columbia Pictures  Sony Pictures;NO"
"2020;FOTOGRAFÍA;The Irishman;NO;Netflix;SI"
"2020;FOTOGRAFÍA;Joker;NO;Warner Bros. Pictures;NO"
"2020;FOTOGRAFÍA;The Lighthouse;NO;A24;NO"
"2020;DISEÑO DE VESTUARIO;Once Upon a Time…in Hollywood;NO;Columbia Pictures Sony Pictures;NO"
"2020;DISEÑO DE VESTUARIO;Little Women;SI;Columbia Pictures  Sony Pictures;NO"
"2020;DISEÑO DE VESTUARIO;The Irishman;NO;Netflix;SI"
"2020;DISEÑO DE VESTUARIO;Jojo Rabbit;NO;Fox Searchlight Pictures;NO"
"2020;DISEÑO DE VESTUARIO;Joker;NO;Warner Bros. Pictures;NO"
"2020;EDICIÓN DE SONIDO;1917;NO;Universal Pictures  Amblin Partners;NO"
"2020;EDICIÓN DE SONIDO;Ford v Ferrari;SI;20th Century Fox;NO"
"2020;EDICIÓN DE SONIDO;Star Wars: The Rise of Skywalker;NO;Lucasfilm. Disney;NO"
"2020;EDICIÓN DE SONIDO;Once Upon a Time…in Hollywood;NO;Universal Pictures  Amblin Partners;NO"
"2020;EDICIÓN DE SONIDO;Joker;NO;Warner Bros. Pictures;NO"
"2020;MEZCLA DE SONIDO;1917;SI;Universal Pictures  Amblin Partners;NO"
"2020;MEZCLA DE SONIDO;Ford v Ferrari;NO;20th Century Fox;NO"
"2020;MEZCLA DE SONIDO;Once Upon a Time…in Hollywood;NO;Columbia Pictures  Sony Pictures;NO"
"2020;MEZCLA DE SONIDO;Ad Astra;NO;20th Century Fox;NO"
"2020;MEZCLA DE SONIDO;Joker;NO;Warner Bros. Pictures;NO"
"2020;CORTOMETRAJE ANIMADO;Dcera (Daughter);NO;FAMU (Film and TV School of the Academy of Performing Arts in Prague);NO"
"2020;CORTOMETRAJE ANIMADO;Hair Love;SI;Sony Pictures Animation;NO"
"2020;CORTOMETRAJE ANIMADO;Kitbull;NO;Walt Disney Studios Motion Pictures PIXAR;NO"
"2020;CORTOMETRAJE ANIMADO;Memorable;NO;Les Valseurs;NO"
"2020;CORTOMETRAJE ANIMADO;Sister;NO;China Academy of Art;NO"
"2020;CORTOMETRAJE;Brotherhood;NO;Travelling Distribution;NO"
"2020;CORTOMETRAJE;Nefta Football Club;NO;The Animation Showcase;NO"
"2020;CORTOMETRAJE;The Neighbors’ Window;SI;Marshall Curry Productions;NO"
"2020;CORTOMETRAJE;Saria;NO;Guardian News & Media;NO"
"2020;CORTOMETRAJE;A Sister;NO;L’unité centrale;NO"
"2020;MÚSICA ORIGINAL;1917;NO;Universal Pictures  Amblin Partners;NO"
"2020;MÚSICA ORIGINAL;Joker;SI;Warner Bros. Pictures;NO"
"2020;MÚSICA ORIGINAL;Little Women;NO;Columbia Pictures  Sony Pictures;NO"
"2020;MÚSICA ORIGINAL;Marriage Story;NO;Netflix;SI"
"2020;MÚSICA ORIGINAL;Star Wars: The Rise of Skywalker;NO;Lucasfilm. Disney;NO"
"2020;EFECTOS VISUALES;Avengers: Endgame;NO;Walt Disney Studios Motion Pictures  MARVEL;NO"
"2020;EFECTOS VISUALES;The Lion King;NO;Walt Disney Studios Motion Pictures;NO"
"2020;EFECTOS VISUALES;Star Wars: The Rise of Skywalker;NO;Lucasfilm. Disney;NO"
"2020;EFECTOS VISUALES;The Irishman;NO;Netflix;SI"
"2020;EFECTOS VISUALES;1917;SI;Universal Pictures  Amblin Partners;NO"
"2020;EDICIÓN;The Irishman;NO;Netflix;SI"
"2020;EDICIÓN;Ford v Ferrari;SI;20th Century Fox;NO"
"2020;EDICIÓN;Parasite;NO;CJ ENM;NO"
"2020;EDICIÓN;Joker;NO;Warner Bros. Pictures;NO"
"2020;EDICIÓN;Jojo Rabbit;NO;Fox Searchlight Pictures;NO"
"2020;MAQUILLAJE Y PELUQUERÍA;Bombshell;SI;Lionsgate;NO"
"2020;MAQUILLAJE Y PELUQUERÍA;Joker;NO;Warner Bros. Pictures;NO"
"2020;MAQUILLAJE Y PELUQUERÍA;Judy;NO;Roadside Attractions  LD Entertainment;NO"
"2020;MAQUILLAJE Y PELUQUERÍA;Maleficent: Mistress of Evil;NO;Walt Disney Studios Motion Pictures;NO"
"2020;MAQUILLAJE Y PELUQUERÍA;1917;NO;Universal Pictures Amblin Partners;NO"
"2021;MEJOR PELÍCULA;The Father;NO;Les Films du Cru;NO"
"2021;MEJOR PELÍCULA;Judas and the Black Messiah;MACRO Warner Bros Pictures;NO"
"2021;MEJOR PELÍCULA;Mank;NO;Netflix;SI"
"2021;MEJOR PELÍCULA;Minari;NO;A24;NO"
"2021;MEJOR PELÍCULA;Nomadland;SI;Searchlight Pictures;NO"
"2021;MEJOR PELÍCULA;Promising Young Woman;NO;LuckyChap Entertainment;NO"
"2021;MEJOR PELÍCULA;Sound of Metal;NO;Amazon;SI"
"2021;MEJOR PELÍCULA;The Trial of the Chicago 7;NO;Netflix;SI"
"2021;ACTRIZ DE REPARTO;Borat Subsequent Moviefilm;NO;Amazon;SI"
"2021;ACTRIZ DE REPARTO;Hillbilly Elegy;NO;Netflix;SI"
"2021;ACTRIZ DE REPARTO;The Father;NO;Les Films du Cru;NO"
"2021;ACTRIZ DE REPARTO;Mank;NO;Netflix;SI"
"2021;ACTRIZ DE REPARTO;Minari;Si;A24;NO"
"2021;ACTOR DE REPARTO;The Trial of the Chicago 7;NO;Netflix;SI"
"2021;ACTOR DE REPARTO;Judas and the Black Messiah;SI; MACRO Warner Bros Pictures;NO"
"2021;ACTOR DE REPARTO;One Night in Miami;NO;Amazon;Si"
"2021;ACTOR DE REPARTO;Sound of Metal;NO;Amazon;NO"
"2021;ACTOR DE REPARTO;Judas and the Black Messiah;NO; MACRO Warner Bros Pictures;NO"
"2021;PELÍCULA INTERNACIONAL;Another Round;SI;Zentropa Entertainments;NO"
"2021;PELÍCULA INTERNACIONAL;Better Days;NO;Well Go USA Entertainment;NO"
"2021;PELÍCULA INTERNACIONAL;Collective;NO;Magnolia Pictures;NO"
"2021;PELÍCULA INTERNACIONAL;The Man Who Sold His Skin;;"
"2021;PELÍCULA INTERNACIONAL;Qu Vadis, Aida?;;"
"2021;DOCUMENTAL (CORTO);Colette;SI;The Guardian;NO;"
"2021;DOCUMENTAL (CORTO);A Concerto Is a Conversation;NO;The New York Times;NO"
"2021;DOCUMENTAL (CORTO);Do Not Split;NO;Field of Vision;NO"
"2021;DOCUMENTAL (CORTO);Hunger Ward;NO;The New York Times;NO"
"2021;DOCUMENTAL (CORTO);A Love Song For Latasha;NO;Netflix;SI"
"2021;DOCUMENTAL;Collective;NO;Magnolia Pictures Bad Unicorn;NO"
"2021;DOCUMENTAL;Crip Camp;NO;Netflix;SI"
"2021;DOCUMENTAL;The Mole Agent;NO;La Ventana Cine;NO"
"2021;DOCUMENTAL;My Octopus Teacher;SI;Netflix;SI"
"2021;DOCUMENTAL;Time;NO;Amazon;SI"
"2021;CANCIÓN ORIGINAL;Judas and the Black Messiah;SI;MACRO Warner Bros Pictures;NO"
"2021;CANCIÓN ORIGINAL;The Trial of the Chicago 7;NO;Netflix;SI"
"2021;CANCIÓN ORIGINAL;Eurovision Song Contest: The Story of Fire Saga;NO;Netflix;SI"
"2021;CANCIÓN ORIGINAL;The Life Ahead;NO;Netflix;SI"
"2021;CANCIÓN ORIGINAL;One Night in Miami…;NO;Amazon;SI"
"2021;PELÍCULA ANIMADA;Onward;NO;Pixar Animation Studios;NO"
"2021;PELÍCULA ANIMADA;Over the Moon;NO;Netflix;SI"
"2021;PELÍCULA ANIMADA;A Shaun the Sheep Movie: Farmageddon;NO;StudioCanal;NO"
"2021;PELÍCULA ANIMADA;Soul;SI;Pixar Animation Studios;NO"
"2021;PELÍCULA ANIMADA;Wolfwalkers;NO;Apple TV;SI"
"2021;GUIÓN ADAPTADO;Borat Subsequent MovieFilm;NO;Amazon;SI"
"2021;GUIÓN ADAPTADO;The Father;SI;Les Films du Cru;NO"
"2021;GUIÓN ADAPTADO;Nomadland;NO;Searchlight Pictures;NO"
"2021;GUIÓN ADAPTADO;One Night in Miami;NO;Amazon;SI"
"2021;GUIÓN ADAPTADO;The White Tiger;NO;Netflix;SI"
"2021;GUIÓN ORIGINAL;Judas and the Black Messiah;NO;MACRO Warner Bros Pictures;NO"
"2021;GUIÓN ORIGINAL;Minari;NO;A24;NO"
"2021;GUIÓN ORIGINAL;Promising Young Woman;SI;LuckyChap Entertainment;NO"
"2021;GUIÓN ORIGINAL;Sound of Metal;NO;Amazon;SI"
"2021;GUIÓN ORIGINAL;The Trial of the Chicago 7;NO;Netflix;SI"
"2021;ACTOR PRINCIPAL;Sound of Metal;NO;Caviar;NO"
"2021;ACTOR PRINCIPAL;Ma Rainey’s Black Bottom;NO;Netflix;SI"
"2021;ACTOR PRINCIPAL;The Father;SI;Les Films du Cru;NO"
"2021;ACTOR PRINCIPAL;Mank;NO;Netflix;SI"
"2021;ACTOR PRINCIPAL;Minari;NO;A24;NO"
"2021;ACTRIZ PRINCIPAL;Ma Rainey’s Black Bottom;NO;Netflix;SI"
"2021;ACTRIZ PRINCIPAL;The United States vs. Billie Holiday;NO;Hulu;SI"
"2021;ACTRIZ PRINCIPAL;Pieces of a Woman;NO;Netflix;SI"
"2021;ACTRIZ PRINCIPAL;Nomadland;SI;Searchlight Pictures;NO"
"2021;ACTRIZ PRINCIPAL;Promising Young Woman;NO;LuckyChap Entertainment;NO"
"2021;DIRECTOR;Another Round;NO;;;"
"2021;DIRECTOR;Mank;NO;Netflix;SI"
"2021;DIRECTOR;Minari;NO;A24;NO"
"2021;DIRECTOR;Nomadland;SI;Searchlight Pictures;NO"
"2021;DIRECTOR;Promising Young Woman;NO;LuckyChap Entertainment;NO"
"2021;DISEÑO DE PRODUCCIÓN;The Father;NO;Les Films du Cru;NO"
"2021;DISEÑO DE PRODUCCIÓN;Ma Rainey’s Black Bottom;NO;Netflix;SI"
"2021;DISEÑO DE PRODUCCIÓN;Mank;SI;Netflix, Searchlight Pictures;NO"
"2021;DISEÑO DE PRODUCCIÓN;News of the World;NO;Universal Pictures;NO"
"2021;DISEÑO DE PRODUCCIÓN;Tenet;NO;Warner Bros. Pictures;NO"
"2021;FOTOGRAFÍA;Judas and the Black Messiah;NO;MACRO, Warner Bros. Pictures;NO"
"2021;FOTOGRAFÍA;Mank;SI;Netflix, Searchlight Pictures;NO"
"2021;FOTOGRAFÍA;News of the World;NO;Universal Pictures;NO"
"2021;FOTOGRAFÍA;Nomadland;NO;Searchlight Pictures;NO"
"2021;FOTOGRAFÍA;The Trial of the Chicago 7;NO;Netflix;SI"
"2021;DISEÑO DE VESTUARIO;Emma;NO;Focus Features;NO"
"2021;DISEÑO DE VESTUARIO;Ma Rainey’s Blackbottom;SI;Netflix;SI"
"2021;DISEÑO DE VESTUARIO;Mank;NO;Netflix;SI"
"2021;DISEÑO DE VESTUARIO;Mulan;NO;Walt Disney Studios Motion Pictures;NO"
"2021;DISEÑO DE VESTUARIO;Pinocchio;NO;Netflix;SI"
"2021;SONIDO;Greyhound;NO;Apple TV+;SI"
"2021;SONIDO;Mank;NO;Netflix;SI"
"2021;SONIDO;News of the World;NO;Universal Pictures;NO"
"2021;SONIDO;Soul;NO;Pixar Animation Studios;NO"
"2021;SONIDO;Sound of Metal;SI;Amazon;SI"
"2021;CORTO ANIMADO;Burrow;NO;Disney+;SI"
"2021;CORTO ANIMADO;Genius Loci;NO;France Télévisions;NO"
"2021;CORTO ANIMADO;If Anything Happens I Love You;SI;Netflix;SI"
"2021;CORTO ANIMADO;Opera;NO;Erick Oh;NO"
"2021;CORTO ANIMADO;Yes-People;NO;Gísli Darri Halldórsson;NO"
"2021;CORTO;Feeling Through;NO;Ouat Media;NO"
"2021;CORTO;The Letter Room;NO;Topic;NO"
"2021;CORTO;The Present;NO;INDEPENDIENTE;NO"
"2021;CORTO;Two Distant Strangers;SI;Netflix;SI"
"2021;CORTO;White Eye;NO;Eroin Corp.;NO"
"2021;MÚSICA ORIGINAL;Da 5 Bloods;NO;Netflix;SI"
"2021;MÚSICA ORIGINAL;Mank;NO;Netflix;SI"
"2021;MÚSICA ORIGINAL;Minari;NO;A24;NO"
"2021;MÚSICA ORIGINAL;News of the World;NO;Universal Pictures;NO"
"2021;MÚSICA ORIGINAL;Soul;SI;Pixar Animation Studios;NO"
"2021;EFECTOS VISUALES;Love and Monsters;NO;Netflix;SI"
"2021;EFECTOS VISUALES;The Midnight Sky;NO;Netflix;SI"
"2021;EFECTOS VISUALES;Mulan;NO;Walt Disney Studios Motion Pictures;NO"
"2021;EFECTOS VISUALES;The One and Only Ivan;NO;Disney+;SI"
"2021;EFECTOS VISUALES;Tenet;SI;Warner Bros. Pictures;NO"
"2021;EDICIÓN;The Father;NO;Les Films du Cru;NO"
"2021;EDICIÓN;Nomadland;NO;Searchlight Pictures;NO"
"2021;EDICIÓN;Promising Young Woman;NO;LuckyChap Entertainment;NO"
"2021;EDICIÓN;Sound of Metal;SI;Amazon;SI"
"2021;EDICIÓN;The Trial of the Chicago 7;NO;Netflix;SI"
"2021;MAQUILLAJE;Emma;NO;Focus Features;NO"
"2021;MAQUILLAJE;Hillbilly Elegy;NO;Netflix;SI"
"2021;MAQUILLAJE;Ma Rainey’s Black Bottom;SI;Netflix;SI"
"2021;MAQUILLAJE;Mank;NO;Netflix;SI"
"2021;MAQUILLAJE;Pinocchio;NO;Netflix;SI"
"2022;MEJOR EDICIÓN DE SONIDO;Dune;SI;Warner Bros. Pictures;NO"
"2022;MEJOR EDICIÓN DE SONIDO;Belfast;NO;Focus Features;NO"
"2022;MEJOR EDICIÓN DE SONIDO;No Time To Die;NO;Eon Productions Metro-Goldwyn-Mayer (MGM) y Universal Pictures;NO"
"2022;MEJOR EDICIÓN DE SONIDO;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR EDICIÓN DE SONIDO;West Side Story;NO;Amblin Entertainment 20th Century Studios y Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR DOCUMENTAL CORTO;The Queen of Basketball;SI;The New York Times;NO"
"2022;MEJOR DOCUMENTAL CORTO;Audible;NO;Netflix;SI"
"2022;MEJOR DOCUMENTAL CORTO;Lead Me Home;NO;Netflix;SI"
"2022;MEJOR DOCUMENTAL CORTO;Three Songs for Benazir;NO;Netflix;SI"
"2022;MEJOR DOCUMENTAL CORTO;When We Were Bullies;NO;HBO;SI"
"2022;MEJOR CORTOMETRAJE ANIMADO;The Windshield Wiper;SI;The Animation Showcase;NO"
"2022;MEJOR CORTOMETRAJE ANIMADO;Affairs of the Art;NO;The New Yorker;NO"
"2022;MEJOR CORTOMETRAJE ANIMADO;Bestia;NO;Miyu Productions;NO"
"2022;MEJOR CORTOMETRAJE ANIMADO;Boxballet;NO;LMX;NO"
"2022;MEJOR CORTOMETRAJE ANIMADO;Robin Robin;NO;Netflix;SI"
"2022;MEJOR CORTOMETRAJE;The Long Goodbye;SI;BBC;NO"
"2022;MEJOR CORTOMETRAJE;Ala Kachuu — Take and Run;NO;Salaud Morisset;NO"
"2022;MEJOR CORTOMETRAJE;The Dress;NO;Kinoelektron;NO"
"2022;MEJOR CORTOMETRAJE;On My Mind;NO;Final Cut for Real;NO"
"2022;MEJOR CORTOMETRAJE;Please Hold;NO;Please Hold LLC;NO"
"2022;MEJOR BANDA SONORA;Dune;SI;Warner Bros. Pictures;NO"
"2022;MEJOR BANDA SONORA;Don’t Look Up;NO;Netflix;SI"
"2022;MEJOR BANDA SONORA;Encanto;NO;Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR BANDA SONORA;Madres Paralelas;NO;Sony Pictures Classics;NO"
"2022;MEJOR BANDA SONORA;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR MONTAJE;Dune;SI;Warner Bros. Pictures;NO"
"2022;MEJOR MONTAJE;Don’t Look Up;NO;Netflix;SI"
"2022;MEJOR MONTAJE;King Richard;NO;Warner Bros. Pictures;NP"
"2022;MEJOR MONTAJE;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR MONTAJE;tick tick… BOOM!;NO;Netflix"";SI"
"2022;MEJOR DISEÑO DE PRODUCCIÓN;Dune;SI;Warner Bros. Pictures;NO"
"2022;MEJOR DISEÑO DE PRODUCCIÓN;Nightmare Alley;NO;Searchlight Pictures;NO"
"2022;MEJOR DISEÑO DE PRODUCCIÓN;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR DISEÑO DE PRODUCCIÓN;The Tragedy of Macbeth;NO;Apple TV+;SI"
"2022;MEJOR DISEÑO DE PRODUCCIÓN;West Side Story;NO;Amblin Entertainment 20th Century Studios y Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR MAQUILLAJE Y PELUQUERÍA;The Eyes of Tammy Faye;SI;Searchlight Pictures;NO"
"2022;MEJOR MAQUILLAJE Y PELUQUERÍA;Coming 2 America;NO;Amazon;SI"
"2022;MEJOR MAQUILLAJE Y PELUQUERÍA;Cruella;NO;Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR MAQUILLAJE Y PELUQUERÍA;Dune;NO;Warner Bros. Pictures;NO"
"2022;MEJOR MAQUILLAJE Y PELUQUERÍA;House of Gucci;NO;Metro-Goldwyn-Mayer Pictures;NO"
"2022;MEJOR ACTRIZ DE REPARTO;West Side Story;SI;Amblin Entertainment 20th Century Studios y Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR ACTRIZ DE REPARTO;The Lost Daughter;NO;Netflix;SI"
"2022;MEJOR ACTRIZ DE REPARTO;Belfast;NO;Focus Features;NO"
"2022;MEJOR ACTRIZ DE REPARTO;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR ACTRIZ DE REPARTO;King Richard;NO;Warner Bros. Pictures;NO"
"2022;MEJOR FOTOGRAFÍA;Dune;SI;Warner Bros. Pictures;NO"
"2022;MEJOR FOTOGRAFÍA;Nightmare Alley;NO;Searchlight Pictures;NO"
"2022;MEJOR FOTOGRAFÍA;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR FOTOGRAFÍA;The Tragedy of Macbeth;NO;Apple TV+;SI"
"2022;MEJOR FOTOGRAFÍA;West Side Story;NO;Amblin Entertainment 20th Century Studios y Walt Disney Studios Motion Pictures;NO"
"2022;MEJORES EFECTOS VISUALES;Dune;SI;Warner Bros. Pictures;NO"
"2022;MEJORES EFECTOS VISUALES;Free Guy;NO;20th Century Studios;NO"
"2022;MEJORES EFECTOS VISUALES;No Time to Die;NO;Eon Productions Metro-Goldwyn-Mayer (MGM) y Universal Pictures;NO"
"2022;MEJORES EFECTOS VISUALES;Shang-Chi and the Legend of the Ten Rings;NO;Walt Disney Studios Motion Pictures;NO"
"2022;MEJORES EFECTOS VISUALES;Spider-Man: No Way Home;NO;Sony Pictures Animation Marvel Entertainment;NO"
"2022;MEJOR PELÍCULA ANIMADA;Encanto;SI;Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR PELÍCULA ANIMADA;Luca;NO;Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR PELÍCULA ANIMADA;Flee;NO;NEON;NO"
"2022;MEJOR PELÍCULA ANIMADA;The Mitchells vs. the Machine;NO;Netflix;SI"
"2022;MEJOR PELÍCULA ANIMADA;Raya and the Last Dragon;NO;Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR ACTOR DE REPARTO;CODA;SI;Apple TV+;SI"
"2022;MEJOR ACTOR DE REPARTO;Belfast;NO;Focus Features;NO"
"2022;MEJOR ACTOR DE REPARTO;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR ACTOR DE REPARTO;Being the Ricardos;NO;Amazon;SI"
"2022;MEJOR ACTOR DE REPARTO;The Power of the Dog;NO;Netflix;SI"
"2022;MEJOR PELÍCULA INTERNACIONAL;Drive My Car;SI;The Criterion Collection;NO"
"2022;MEJOR PELÍCULA INTERNACIONAL;Flee;NO;NEON;NO"
"2022;MEJOR PELÍCULA INTERNACIONAL;The Hand of God;NO;Netflix;SI"
"2022;MEJOR PELÍCULA INTERNACIONAL;Lunana: A Yak in the Classroom;NO;Samuel Goldwyn Films;NO"
"2022;MEJOR PELÍCULA INTERNACIONAL;The Worst Person in the World;NO;NEON;NO"
"2022;MEJOR DISEÑO DE VESTUARIO;Cruella;SI;Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR DISEÑO DE VESTUARIO;Cyrano;NO;Universal Pictures;NO"
"2022;MEJOR DISEÑO DE VESTUARIO;Dune;NO;Warner Bros. Pictures;NO"
"2022;MEJOR DISEÑO DE VESTUARIO;Nightmare Alley;NO;Searchlight Pictures;NO"
"2022;MEJOR DISEÑO DE VESTUARIO;West Side Story;NO;Amblin Entertainment 20th Century Studios y Walt Disney Studios Motion Pictures;NO"
"2022;MEJOR GUION ORIGINAL;Belfast;SI;Focus Features;NO"
"2022;MEJOR GUION ORIGINAL;Don’t Look Up;NO;Netflix;SI"
"2022;MEJOR GUION ORIGINAL;King Richard;NO;Warner Bros. Pictures;NO"
"2022;MEJOR GUION ORIGINAL;Licorice Pizza;NO;Universal Pictures;NO"
